,time,avg_temp,min_temp,max_temp,precipitation,location,precipitation_rounded
202,22-12-1990,20.4,16.4,27.0,0.0,Bangalore,0.0
203,23-12-1990,21.6,16.4,27.3,0.0,Bangalore,0.0
204,28-12-1990,20.7,13.6,25.4,0.0,Bangalore,0.0
205,31-12-1990,23.6,19.0,27.2,0.0,Bangalore,0.0
206,01-01-1991,23.6,20.0,27.6,0.3,Bangalore,0.0
207,03-01-1991,22.8,16.2,30.3,0.0,Bangalore,0.0
208,04-01-1991,22.9,17.9,29.0,0.0,Bangalore,0.0
209,05-01-1991,23.1,19.2,27.7,0.0,Bangalore,0.0
210,06-01-1991,22.7,17.5,28.5,0.0,Bangalore,0.0
211,10-01-1991,22.3,16.3,29.2,0.0,Bangalore,0.0
212,11-01-1991,21.9,17.2,29.0,0.0,Bangalore,0.0
213,17-01-1991,21.9,17.0,27.8,0.0,Bangalore,0.0
214,19-01-1991,21.7,17.2,28.5,0.0,Bangalore,0.0
215,23-01-1991,23.8,15.5,29.8,0.0,Bangalore,0.0
216,24-01-1991,21.2,16.1,28.9,0.0,Bangalore,0.0
217,25-01-1991,20.9,15.5,26.8,0.0,Bangalore,0.0
218,26-01-1991,21.2,14.2,28.0,0.0,Bangalore,0.0
219,27-01-1991,21.8,14.0,29.5,0.0,Bangalore,0.0
220,30-01-1991,19.1,13.9,28.8,0.0,Bangalore,0.0
221,31-01-1991,21.3,15.0,28.4,0.0,Bangalore,0.0
222,02-02-1991,24.6,19.2,30.6,0.0,Bangalore,0.0
223,03-02-1991,24.7,19.6,31.5,0.0,Bangalore,0.0
224,04-02-1991,23.6,18.7,31.0,0.0,Bangalore,0.0
225,05-02-1991,23.6,18.8,30.1,0.0,Bangalore,0.0
226,07-02-1991,22.7,15.7,29.3,0.0,Bangalore,0.0
227,08-02-1991,22.8,15.8,30.8,0.0,Bangalore,0.0
228,09-02-1991,22.7,15.4,30.2,0.0,Bangalore,0.0
229,10-02-1991,23.9,16.1,31.4,0.0,Bangalore,0.0
230,11-02-1991,24.4,16.6,33.0,0.0,Bangalore,0.0
